"","Cell_ID","Pearson_Correlation","mean_intensity_KRAS","mean_intensity_BRAF","sum_intensity_KRAS","sum_intensity_BRAF","Area_Pixels","Area","KRAS_type","BRAF_type","image_no"
"1",1,0.882019288208236,218.144530466784,240.744345486414,33727544,37221724,154611,192.5500810851,"KRASG12D","BRAF_AAAA",15
"2",2,0.808945644112112,153.646190755635,115.33858607477,8901953,6682487,57938,72.1550639858,"KRASG12D","BRAF_AAAA",15
"3",3,0.877580156291413,1954.46771601437,1905.53496880318,206743595,201567489,105780,131.736730098,"KRASG12D","BRAF_AAAA",15
"4",4,0.847774685289414,68.2063032886723,59.3550040600893,2687874,2339062,39408,49.0780966128,"KRASG12D","BRAF_AAAA",15
"5",5,0.841048391511334,1246.02657318807,2005.32257192682,387267551,623258266,310802,387.0678690482,"KRASG12D","BRAF_AAAA",15
"6",6,0.768405150612084,1517.03673768092,902.856464465767,93282589,55516644,61490,76.578668309,"KRASG12D","BRAF_AAAA",15
"7",7,0.956142486379166,1544.31248629553,1781.11979534657,253545224,292424248,164180,204.467161538,"KRASG12D","BRAF_AAAA",15
"8",8,0.846524673111109,112.576858343458,104.835532842159,20200116,18811059,179434,223.4642505994,"KRASG12D","BRAF_AAAA",15
"9",9,0.834981056102067,1354.9592143698,1265.38331080786,62157399,58048194,45874,57.1307502034,"KRASG12D","BRAF_AAAA",15
"10",10,0.663299281285909,658.858537976747,714.794183961752,48507801,52626007,73624,91.6901589784,"KRASG12D","BRAF_AAAA",15
"11",11,0.845357786403684,69.2769427542714,68.6530877797411,9370330,9285948,135259,168.4494079819,"KRASG12D","BRAF_AAAA",15
"12",12,0.784762924495678,814.258226268428,1369.19862576023,108311815,182129432,133019,165.6597475979,"KRASG12D","BRAF_AAAA",15
"13",13,0.593260218732081,16.8253860838123,8.36897391093559,1665831,828587,99007,123.3017435887,"KRASG12D","BRAF_AAAA",15
"14",14,0.909592271413204,105.723509873344,80.0579443004709,11586028,8773390,109588,136.4791527508,"KRASG12D","BRAF_AAAA",15
"15",15,0.662603498762844,1008.06579374088,799.612818226042,74600901,59174547,74004,92.1634049364,"KRASG12D","BRAF_AAAA",15
"16",16,0.800435501558957,679.586033117351,1309.08760030905,154806980,298204919,227796,283.6935164436,"KRASG12D","BRAF_AAAA",15
"17",1,0.766383902572685,135.989991735462,327.212153411619,14973722,36029003,110109,137.1279978669,"KRASG12D","BRAF_AAAA",16
"18",2,0.921975764783576,225.241423260754,86.7620286776421,4241296,1633729,18830,23.450582603,"KRASG12D","BRAF_AAAA",16
"19",3,0.83731814471969,179.380447500585,119.633899159361,9965122,6646022,55553,69.1848229073,"KRASG12D","BRAF_AAAA",16
"20",4,0.865776597111749,82.5236599423631,21.8817435158501,5727142,1518593,69400,86.42965654,"KRASG12D","BRAF_AAAA",16
