Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.08399967119155759,49.22362863486219,12.011750690420751,3636051,887284,73868.0,91.99403269880001
2,-0.03539446402700756,2580.598548895899,3226.555793901157,122707461,153422728,47550.0,59.21801395500001
3,0.3917653937584483,6351.3679587052775,4605.206319702602,536474646,388983357,84466.0,105.19261339060002
4,0.05425252793362588,4068.317689361002,5354.072078212028,173110986,227821121,42551.0,52.99233883910001
5,0.46476941196101346,786.1466787743432,1069.5292363573892,64063879,87157007,81491.0,101.48759569310002
6,-0.019875718631024383,1675.0228177768324,2273.130502085623,141752156,192368215,84627.0,105.39312023070002
7,0.021069364476086594,493.2741091369712,1184.1759725324177,29595460,71048190,59998.0,74.72055523180002
8,0.8477701578817635,54.66450073421439,22.28186490455213,1489061,606958,27240.0,33.92426288400001
9,0.10670059276619503,1877.7556421772167,2646.7444990537524,265912732,374810782,141612.0,176.36133316920004
10,0.10451372441692455,3653.555889329701,3849.333440371249,352710632,371610801,96539.0,120.22813562990002
11,0.41194708095150123,210.3342685942553,286.7012079132585,4422909,6028753,21028.0,26.187936854800004
12,0.6693046885608023,209.85728037581103,95.4417768878792,32700591,14872024,155823.0,194.05948661430003
13,0.2502274478751545,5108.351929368401,6732.376216123548,715138620,942492276,139994.0,174.34630169540003
14,-0.15331074777082304,1264.8459569830168,3082.646682670419,183359659,446878959,144966.0,180.53835144060002
15,0.7058864346277393,343.6447147651007,46.17765875064533,10650237,1431138,30992.0,38.59694402720001
16,-0.09444043459277088,121.28942343808689,447.3676990734944,15499818,57170013,127792.0,159.15012490720002
17,0.3478996169286015,21.999764180606213,6.919506980254056,1399361,440136,63608.0,79.21639183280001
18,0.09862216646378062,1952.0421246874876,2537.2408296625526,295137057,383615590,151194.0,188.29460361540004
19,0.8387150372829733,162.17880023296448,375.3143501050872,6404603,14821539,39491.0,49.18146349310001
20,0.8992308548305017,401.4097215253387,391.92249749121925,64000766,62488123,159440.0,198.56404090400005
21,0.7816659742790019,224.44472684202734,193.1510388392637,18191694,15655278,81052.0,100.94087207320003
22,0.7037298777755704,69.36488470293274,41.58855111668261,8410631,5042695,121252.0,151.00531289320003
23,0.032440709626357554,55.24711747285291,175.60624876604146,5596533,17788913,101300.0,126.15740933000002
24,0.7943449534492752,191.1862418672601,53.91970883517081,22509121,6348183,117734.0,146.62405162940001
25,0.7329816870851024,130.21484037963762,50.05149629898733,11469844,4408736,88084.0,109.69841306440001
26,0.056555685067032846,14.115191545574637,36.898282694848085,53426,139660,3785.0,4.713778818500001
27,0.16263690649079227,1.6666666666666667,12.757575757575758,275,2105,165.0,0.20548837650000004
28,-0.06959393970481972,3061.134691455696,3461.0860957278483,309541940,349985026,101120.0,125.93324019200003
29,0.7661010583405308,1018.6767829441948,611.8381428741895,102442212,61528891,100564.0,125.24080663240002
30,0.7505923413157762,224.14234807911274,61.24303124868216,21260350,5809024,94852.0,118.12717265320002
31,0.7494910939934394,124.78711037301993,55.67742718446602,9768335,4358429,78280.0,97.48866734800002
32,0.017024172847665504,64.42458606274072,220.34721353566607,7828618,26775712,121516.0,151.33409429560004
33,0.8107349894419082,241.7296958651327,208.801799749402,2122145,1833071,8779.0,10.933227013900002
34,0.1730385756380286,4364.068849234228,6376.742834059295,124236312,181533115,28468.0,35.453594558800006
35,0.01992317351516935,9.526997914030709,39.02769893649762,835794,3423861,87729.0,109.25630170890003
